idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,Total_wages,ttl_exp,tenure
2431,35,Black,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,11.61,40,464,11,2.5
2432,38,White,Married,Has been married,17,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,15.48,50,774,12,1.33
2434,41,Black,Single,Has been married,10,Not college grad,South,SMSA,Central city,Professional services,Laborers,,3.08,40,123,14,0.5
2439,35,Black,Single,Never married,11,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,5.03,40,201,16,16
2442,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,8.86,32,283,11,3.33
2443,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,5.48,35,192,6,1.83
2445,38,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Sales,Nonunion,4.83,40,193,5,1.67
2446,35,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Laborers,,3.45,15,52,3,0.17
2448,37,White,Married,Has been married,11,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.03,40,201,9,1.33
2449,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Managers/Admin,Union,4.51,35,158,2,1.83
2450,39,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,5.56,47,261,10,3.67
2453,41,Black,Single,Has been married,14,Not college grad,South,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,7.8,40,312,12,1.83
2454,38,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Transport/Comm/Utility,Sales,Union,9.26,40,370,16,16.33
2457,36,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Personal services,Transport,Nonunion,2.01,3,6,4,3.5
2458,40,Black,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,6.19,30,186,5,4.25
2461,37,Black,Single,Has been married,4,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Operatives,Nonunion,3.26,18,59,15,12.33
2466,37,White,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,6.19,20,124,10,3.17
2469,37,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,,10.45,40,418,15,13.83
2476,37,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Union,7.75,38,294,15,3.25
2479,37,Black,Married,Has been married,15,Not college grad,South,SMSA,Not central city,Professional services,Professional/Technical,Union,15.1,40,604,19,11
2480,45,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Entertainment/Rec svc,Managers/Admin,Nonunion,10.32,45,464,19,3.42
2484,43,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,5.02,20,100,5,0.67
2486,43,Black,Married,Has been married,9,Not college grad,South,SMSA,Central city,Public administration,Sales,Union,11.07,40,443,19,9.92
2487,36,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,7.11,40,284,14,0.17
2491,36,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Union,7.32,40,293,18,3.42
2494,36,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,,3.55,40,142,2,0.92
2503,45,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,6.84,35,240,18,0
2504,37,White,Single,Has been married,13,Not college grad,South,SMSA,Central city,Construction,Sales,Nonunion,8.26,45,372,17,7.25
2506,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Craftsmen,Nonunion,11.62,40,465,17,0.58
2510,37,White,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Service,Union,4.85,40,194,7,5.75
2514,40,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,8.13,40,325,14,10.58
2517,45,Black,Single,Never married,14,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,6.44,40,258,17,3.5
2518,36,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,7.44,15,112,10,3.75
2520,45,White,Single,Has been married,14,Not college grad,South,SMSA,Central city,Professional services,Sales,,3.76,20,75,11,0.42
2522,39,Black,Single,Has been married,16,College grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,2.9,35,101,13,1.5
2523,35,Black,Married,Has been married,16,College grad,South,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,6.04,40,242,15,2.42
2526,38,Black,Single,Never married,18,College grad,South,SMSA,Central city,Professional services,Other,Union,10.23,40,409,16,15.83
2528,41,Black,Single,Has been married,15,Not college grad,South,SMSA,Central city,Business/Repair svc,Sales,Nonunion,4.29,40,172,12,2
2529,38,White,Married,Has been married,11,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,,4.18,60,251,13,1.42
2532,35,White,Married,Has been married,8,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,,6.23,35,218,12,0.58
2535,35,White,Single,Has been married,12,Not college grad,South,SMSA,Central city,Business/Repair svc,Managers/Admin,,3.72,50,186,10,3.33
2537,36,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,,4.83,40,193,17,2.42
2538,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,8.37,60,502,15,2.92
2541,42,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,15.48,45,697,14,4.5
2544,36,White,Married,Has been married,15,Not college grad,South,SMSA,Central city,Manufacturing,Sales,,4.83,40,193,15,5.83
2545,35,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,,32.16,50,1608,11,2.08
2546,38,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Ag/Forestry/Fisheries,Farmers,Nonunion,8.05,40,322,19,13.5
2548,35,White,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,17.42,40,697,15,7.25
2552,38,Black,Married,Has been married,17,College grad,South,SMSA,Central city,Public administration,Sales,Union,10.45,40,418,16,8.33
2554,39,Black,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,,40.2,40,1608,15,10.08
2555,40,Black,Single,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,10.06,35,352,16,13.58
2556,37,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,4.26,40,170,12,4.75
2557,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,5.58,40,223,6,3.83
2559,41,Black,Married,Has been married,13,Not college grad,South,SMSA,Central city,Transport/Comm/Utility,Sales,Union,9.65,40,386,18,17.67
2560,39,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Union,5.81,40,232,16,1.67
2564,45,White,Single,Never married,18,College grad,South,SMSA,Not central city,Wholesale/Retail trade,Professional/Technical,,12.54,36,452,19,0.42
2569,43,Black,Single,Has been married,16,College grad,South,SMSA,Central city,Public administration,Professional/Technical,Union,8.08,35,283,7,3.42
2571,40,White,Single,Has been married,18,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,24,40,960,11,4.92
2575,40,Black,Single,Has been married,7,Not college grad,South,SMSA,Central city,Construction,Operatives,Union,6.08,40,243,3,3.33
2579,37,Black,Single,Never married,18,College grad,South,SMSA,Central city,Public administration,Professional/Technical,Nonunion,19.74,40,790,13,8.58
2580,45,White,Married,Has been married,11,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.75,35,201,5,0.33
2582,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.83,40,193,8,1.5
2583,40,White,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,,2.88,,0,8,0.67
2586,40,Black,Single,Has been married,17,College grad,South,SMSA,Central city,Public administration,Professional/Technical,Nonunion,13.27,35,464,18,3.42
2590,45,White,Single,Has been married,10,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,3.3,40,132,4,1.92
2593,41,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.03,40,161,20,0.42
2594,42,White,Married,Has been married,10,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.23,20,105,12,1.5
2596,42,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Union,6.4,40,256,20,20.33
2597,37,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,6.44,32,206,15,7.17
2598,35,Black,Single,Has been married,14,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,7.55,40,302,14,7.75
2605,44,White,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Personal services,Sales,,4.18,40,167,12,0.25
2606,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,3.96,25,99,10,
2607,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Public administration,Professional/Technical,Nonunion,6.96,40,279,16,3.33
2608,43,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.45,20,209,18,13.17
2610,45,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Professional services,Other,Nonunion,5.92,20,118,7,0
2611,39,Black,Single,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Union,11.15,50,558,17,16.92
2612,35,Black,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Professional/Technical,,30.34,53,1608,11,1.5
2613,39,Black,Married,Has been married,15,College grad,South,SMSA,Not central city,Professional services,Sales,,40.75,38,1548,11,1.5
2615,35,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,,14.51,40,581,15,10
2617,44,Black,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Professional/Technical,Union,2.52,40,101,8,3.25
2619,41,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,2.68,12,32,9,2.92
2623,41,Black,Single,Has been married,9,Not college grad,South,SMSA,Central city,Personal services,Operatives,Union,3.3,40,132,12,3.25
2624,36,Black,Single,Never married,8,Not college grad,South,SMSA,Central city,Personal services,Operatives,Union,3.81,40,152,8,6.17
2625,44,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,4.03,20,81,11,2.42
2627,44,White,Single,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,6.19,40,248,7,2.42
2628,39,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Public administration,Sales,Nonunion,7.75,40,310,16,9.25
2636,43,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Professional/Technical,Nonunion,8.05,50,403,15,13.5
2640,41,Black,Single,Has been married,13,College grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,9.36,48,449,15,6
2642,37,Black,Married,Has been married,14,Not college grad,South,SMSA,Not central city,Public administration,Professional/Technical,Nonunion,12.78,40,511,12,11.33
2644,38,Black,Single,Never married,16,College grad,South,SMSA,Central city,Public administration,Professional/Technical,Nonunion,8.9,40,356,16,16
2647,40,Black,Single,Has been married,11,Not college grad,South,SMSA,Central city,Professional services,Laborers,Union,5.98,60,359,12,12.25
2654,35,Black,Single,Never married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Union,10.6,38,403,13,2.67
2655,36,Black,Single,Never married,12,Not college grad,South,SMSA,Not central city,Construction,Service,,8.57,24,206,5,0.33
2658,36,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,,3,6,18,1,0.92
2659,35,Black,Single,Has been married,14,Not college grad,South,SMSA,Central city,Transport/Comm/Utility,Operatives,Union,11.61,40,464,10,9.92
2661,35,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Union,11.98,40,479,5,2
2662,37,Black,Single,Has been married,11,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,5.35,40,214,15,14.83
2663,42,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Personal services,Sales,Nonunion,4.03,4,16,8,1.42
2664,38,White,Single,Never married,18,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,15.48,45,697,14,6.42
2666,37,White,Married,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Union,6.45,60,387,7,3
2669,40,White,Single,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,16.77,60,1006,18,7.83
2670,36,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Union,10.06,16,161,13,2.67
2671,39,Black,Single,Has been married,18,College grad,South,SMSA,Not central city,Transport/Comm/Utility,Professional/Technical,Union,12.12,46,557,16,9.67
2674,37,White,Single,Never married,14,College grad,South,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6.88,45,310,18,11.83
2675,44,White,Single,Never married,16,College grad,South,SMSA,Not central city,Public administration,Professional/Technical,Nonunion,16.26,40,650,18,8.17
2677,35,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Business/Repair svc,Laborers,,2.79,15,42,7,0.42
2678,41,White,Married,Has been married,9,Not college grad,South,SMSA,Not central city,Transport/Comm/Utility,Operatives,Nonunion,4.43,30,133,5,3.17
2679,44,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,10.19,38,387,17,14.58
2680,39,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Laborers,Nonunion,12.28,40,491,16,15.5
2681,36,White,Single,Never married,15,College grad,South,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,,4.39,50,219,5,0.75
2685,36,White,Married,Has been married,15,Not college grad,South,SMSA,Central city,Public administration,Managers/Admin,,8.58,60,515,16,7.17
2701,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,,4.03,40,161,18,1.42
2704,41,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.68,40,387,15,2.08
2707,35,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,7.67,40,307,15,14.67
2708,40,White,Single,Never married,12,Not college grad,South,SMSA,Central city,Public administration,Household workers,Union,6.61,40,264,17,11.75
2709,37,White,Married,Has been married,13,Not college grad,South,SMSA,Central city,Public administration,Professional/Technical,Nonunion,13.55,40,542,16,7.5
2710,35,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,5.3,40,212,11,5.58
2711,38,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,6.88,35,241,13,12.25
2712,37,White,Single,Has been married,12,Not college grad,South,SMSA,Central city,Personal services,Sales,Nonunion,4.03,32,129,8,0.75
2713,34,White,Married,Has been married,6,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,3.11,25,78,6,3.25
2715,41,White,Married,Has been married,14,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.23,20,105,16,3
2716,39,White,Single,Never married,17,College grad,South,SMSA,Central city,Public administration,Sales,Union,14.01,42,588,19,18.83
2717,37,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,5.99,40,240,13,11
2719,43,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,7.23,36,260,19,11.08
2722,38,White,Single,Has been married,13,Not college grad,South,SMSA,Central city,Public administration,Managers/Admin,Union,5.66,40,226,9,1.42
2723,37,White,Single,Never married,11,Not college grad,South,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,4.35,44,191,17,10
2724,43,White,Single,Has been married,17,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,10.06,40,402,17,16.83
2725,40,White,Married,Has been married,14,Not college grad,South,SMSA,Central city,Public administration,Professional/Technical,Nonunion,9.43,40,377,18,4.75
2730,39,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,2.7,15,40,8,3.33
2734,36,White,Married,Has been married,16,College grad,South,SMSA,Central city,Construction,Managers/Admin,Nonunion,11.35,45,511,15,7.58
2735,34,White,Married,Has been married,17,College grad,South,SMSA,Central city,Business/Repair svc,Managers/Admin,Nonunion,10.64,38,404,12,6.33
2737,36,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Mining,Sales,,40.2,40,1608,12,2.17
2739,41,Black,Married,Has been married,15,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Union,4.84,40,194,14,9.92
2741,39,Black,Married,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,9.09,45,409,15,3.42
2742,41,Black,Married,Has been married,11,Not college grad,South,SMSA,Central city,Business/Repair svc,Laborers,,2.8,18,50,14,0.33
2743,38,Black,Single,Never married,13,Not college grad,South,SMSA,Central city,Personal services,Sales,Union,3.95,40,158,8,7.67
2745,41,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,6.99,40,280,19,14
2746,36,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,6.44,40,258,16,1.42
2752,44,White,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Sales,Nonunion,5.9,30,177,15,6.92
2753,38,White,Single,Never married,18,College grad,South,SMSA,Central city,Public administration,Managers/Admin,Nonunion,12.08,50,604,18,13.75
2757,36,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Union,4.34,38,165,15,3.67
2760,34,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Construction,Laborers,Nonunion,8.05,2,16,9,1.33
2761,36,White,Single,Never married,17,College grad,South,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,10,48,480,16,2.08
2762,36,White,Single,Has been married,14,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,7.26,32,232,14,1.58
2764,43,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,7.58,24,182,13,7.5
2769,34,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Transport/Comm/Utility,Laborers,Nonunion,5.37,45,242,3,0.83
2771,39,White,Single,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Sales,Nonunion,6.12,40,245,14,10.25
2772,37,White,Single,Has been married,11,Not college grad,South,SMSA,Central city,Personal services,Craftsmen,Nonunion,4.83,40,193,11,1.25
2777,37,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Operatives,Nonunion,4.31,40,172,16,1.67
2780,44,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,3.3,40,132,14,3.75
2782,39,Black,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Sales,,2.48,15,37,6,1.08
2786,35,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,7.27,40,291,12,11.67
2787,39,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,15.2,55,836,17,4.08
2790,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Transport/Comm/Utility,Sales,Union,9.42,35,330,19,8.42
2792,43,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Construction,Sales,Nonunion,30.19,10,302,15,1.33
2794,36,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Public administration,Sales,Nonunion,10.19,40,408,14,11.58
2796,44,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,6.4,40,256,19,4.92
2801,37,White,Single,Never married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,6.92,40,277,15,7.83
2806,35,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.83,40,193,9,3.33
2815,36,Black,Single,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Other,Union,10.22,50,511,12,8.83
2816,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Nonunion,8.86,40,354,21,21.33
2818,41,Black,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,5.46,39,213,10,3.67
2820,35,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Construction,Managers/Admin,Nonunion,11.76,40,470,16,14
2823,39,White,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Union,9.6,50,480,16,8.92
2825,40,Black,Single,Has been married,14,Not college grad,South,SMSA,Not central city,Public administration,Sales,Nonunion,8.15,38,310,15,11.08
2826,35,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Nonunion,1.87,40,75,1,0.67
2830,38,Black,Single,Never married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Laborers,,3.76,35,132,14,0.33
2831,37,Black,Single,Has been married,8,Not college grad,South,SMSA,Not central city,Business/Repair svc,Laborers,Nonunion,2.7,40,108,3,1.83
2834,37,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Entertainment/Rec svc,Laborers,Nonunion,2.7,35,94,2,0
2835,40,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,7.55,40,302,18,3.42
2845,36,Black,Single,Has been married,14,Not college grad,South,SMSA,Central city,Public administration,Professional/Technical,Nonunion,7.75,38,294,12,3.92
2846,37,Black,Single,Never married,9,Not college grad,South,SMSA,Not central city,Professional services,Operatives,Nonunion,4.94,40,197,10,7.58
2848,41,Black,Single,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,14.26,38,542,18,17.42
2849,43,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,,2.79,45,125,17,1.08
2853,45,Black,Married,Has been married,9,Not college grad,South,SMSA,Central city,Personal services,Transport,Nonunion,4.23,20,85,12,1.25
2857,41,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Laborers,Nonunion,3.58,40,143,18,2.42
2858,41,Black,Single,Has been married,11,Not college grad,South,SMSA,Not central city,Public administration,Craftsmen,Nonunion,6.37,40,255,11,2.92
2864,45,Black,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Union,11.62,40,465,18,15.75
2865,38,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,2.16,25,54,8,1.67
2868,34,White,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,6.93,40,277,15,10.5
2869,35,White,Single,Has been married,16,College grad,South,SMSA,Central city,Transport/Comm/Utility,Managers/Admin,Nonunion,15.1,40,604,8,7.67
2870,37,Black,Married,Has been married,10,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Union,3.95,40,158,17,3.5
2872,35,Black,Single,Has been married,18,College grad,Not south,SMSA,Central city,Manufacturing,Clerical/Unskilled,Nonunion,12.05,45,542,13,3.83
2874,35,Black,Single,Never married,6,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Laborers,Nonunion,3.11,35,109,5,3.5
2875,34,Black,Single,Never married,7,Not college grad,South,SMSA,Not central city,Personal services,Laborers,Nonunion,5.64,40,225,7,0
2876,44,Black,Married,Has been married,8,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Operatives,Nonunion,3.53,52,183,11,3.42
2877,43,Black,Married,Has been married,9,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Union,3.93,40,157,17,3.5
2878,45,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Nonunion,6.32,40,253,15,3.83
2880,40,White,Married,Has been married,8,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,2.93,40,117,9,2.08
2883,35,Black,Married,Has been married,11,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,4.83,40,193,7,3.5
2886,38,Black,Married,Has been married,17,College grad,South,SMSA,Central city,Public administration,Sales,Union,10.97,40,439,13,9.83
2892,35,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Laborers,Nonunion,4.8,40,192,13,12.58
2893,36,Black,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,8.9,40,356,14,11.58
2894,34,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Union,5.03,40,201,8,3.67
2895,42,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Public administration,Sales,Union,9.39,38,357,7,3.17
2896,35,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Craftsmen,Nonunion,11.53,45,519,16,16.17
2899,37,White,Married,Has been married,17,College grad,South,SMSA,Not central city,Public administration,Professional/Technical,Nonunion,14.11,45,635,14,13.5
2900,42,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Public administration,Sales,,7.71,40,308,15,13.25
2901,40,White,Single,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Union,4.83,20,97,11,9.08
2904,42,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,5.43,35,190,15,2.08
2905,37,White,Married,Has been married,17,College grad,Not south,SMSA,Central city,Business/Repair svc,Professional/Technical,Nonunion,17.21,45,774,14,8.92
2908,36,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,5.75,35,201,17,0.17
2910,39,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,,8.36,40,334,14,1.67
2911,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Public administration,Professional/Technical,,9.57,40,383,15,3.08
2912,37,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,8.86,25,221,14,10.42
2913,36,White,Single,Has been married,13,Not college grad,South,SMSA,Not central city,Entertainment/Rec svc,Sales,Nonunion,12.05,45,542,14,13.75
2914,41,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,11.06,35,387,17,1.58
2915,42,White,Married,Has been married,18,College grad,South,SMSA,Central city,Public administration,Professional/Technical,,14.47,50,724,15,6.17
2917,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Professional/Technical,Union,7.25,8,58,10,2.67
2918,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,,3.94,10,39,6,0.5
